2018-10-10 11:45:38 [RMI TCP Connection(10)-127.0.0.1] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1184ab05: startup date [Wed Oct 10 11:43:51 IST 2018]; root of context hierarchy
2018-10-10 11:45:38 [RMI TCP Connection(10)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2018-10-10 11:45:38 [RMI TCP Connection(10)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2018-10-10 11:45:38 [RMI TCP Connection(10)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2018-10-10 11:45:38 [RMI TCP Connection(10)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2018-10-10 11:45:44 [main] INFO  com.capgemini.SpsDemoApplication - Starting SpsDemoApplication on LIN40000108 with PID 16204 (C:\Users\vishwman\Desktop\SPS-DEMO-NEW\target\classes started by vishwman in C:\Users\vishwman\Desktop\SPS-DEMO-NEW)
2018-10-10 11:45:44 [main] INFO  com.capgemini.SpsDemoApplication - The following profiles are active: swagger-enabled-for-qa
2018-10-10 11:45:44 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@433d61fb: startup date [Wed Oct 10 11:45:44 IST 2018]; root of context hierarchy
2018-10-10 11:45:45 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$2419c1fb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-10-10 11:45:45 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
2018-10-10 11:45:45 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2018-10-10 11:45:45 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
